,nuclide,Thalf,unit,half life ICRP,halflifeInS_OILS,halflife,DecayConst,OILDecayConst,comparison
118,U-232,68.9,y,72.0,2170000000.0,2172830400.0,3.190065734352508e-10,3.19006573435251e-10,true
119,U-234,245500.0,y,245000.0,7740000000000.0,7742088000000.0,8.952974708630867e-14,8.95297470863087e-14,true
120,U-235+,704000000.0,y,704000000.0,2.22e+16,2.2201344e+16,3.1220955837626104e-17,3.1220955837626104e-17,true
121,U-238+,4468000000.0,y,4470000000.0,1.41e+17,1.40902848e+17,4.919326971729807e-18,4.919326971729809e-18,true
122,Np-237+,2144000.0,y,2140000.0,67600000000000.0,67613184000000.0,1.0251657140713049e-14,1.0251657140713001e-14,true
123,Pu-238,87.7,y,87.74,2770000000.0,2765707200.0,2.506220400192563e-10,2.5062204001925604e-10,true
124,Pu-239,24110.0,y,24065.0,760000000000.0,760332960000.0,9.11636371202355e-13,9.11636371202355e-13,true
125,Pu-240,6564.0,y,6537.0,207000000000.0,207002304000.0,3.3484998338953044e-12,3.3484998338952996e-12,true
126,Pu-241,14.35,y,14.4,453000000.0,452541600.0,1.5316761609539217e-09,1.5316761609539199e-09,true
127,Pu-242,375000.0,y,376000.0,11800000000000.0,11826000000000.0,5.861214109250341e-14,5.861214109250341e-14,true
128,Am-241,432.2,y,432.2,13600000000.0,13629859200.0,5.0855050693403004e-11,5.0855050693403e-11,true
129,Am-243+,7370.0,y,7380.0,232000000000.0,232420320000.0,2.9823002591165236e-12,2.98230025911652e-12,true
130,Cm-242,162.8,d,162.8,14100000.0,14065920.0,4.9278481646415256e-08,4.92784816464153e-08,true
131,Cm-244,18.1,y,18.11,571000000.0,570801600.0,1.214339939761811e-09,1.21433993976181e-09,true
132,Cm-248,348000.0,y,339000.0,11000000000000.0,10974528000000.0,6.315963479795625e-14,6.31596347979563e-14,true
133,Bk-249,330.0,d,320.0,28500000.0,28512000.0,2.4310717612231527e-08,2.4310717612231498e-08,true
134,Cf-249,351.0,y,350.6,11100000000.0,11069136000.0,6.261980885951219e-11,6.26198088595122e-11,true
135,Cf-252,2.65,y,2.638,83400000.0,83570400.0,8.29417090931652e-09,8.309849871337909e-09,true
136,239Pu/9Be,24110.0,y,,760000000000.0,760332960000.0,9.11636371202355e-13,9.11636371202355e-13,true
137,241Am/9Be,432.2,y,,13600000000.0,13629859200.0,5.0855050693403004e-11,5.0855050693403e-11,true
